date	value
1933.7917	-0.23
1933.875	-0.31
1933.9583	-0.46
1934.0417	-0.26
1934.125	-0.03
1934.2083	-0.3
1934.2917	-0.26
1934.375	-0.1
1934.4583	-0.13
1934.5417	-0.1
1934.625	-0.09
1934.7083	-0.14
1934.7917	-0.1
1934.875	0
1934.9583	-0.08
1935.0417	-0.36
1935.125	0.13
1935.2083	-0.12
1935.2917	-0.34
1935.375	-0.25
1935.4583	-0.22
1935.5417	-0.18
1935.625	-0.16
1935.7083	-0.16
1935.7917	-0.08
1935.875	-0.28
1935.9583	-0.21
1936.0417	-0.28
1936.125	-0.39
1936.2083	-0.22
1936.2917	-0.2
1936.375	-0.16
1936.4583	-0.18
1936.5417	-0.05
1936.625	-0.11
1936.7083	-0.05
1936.7917	-0.03
1936.875	-0.04
1936.9583	-0.03
1937.0417	-0.1
1937.125	0.07
1937.2083	-0.16
1937.2917	-0.16
1937.375	-0.06
1937.4583	-0.07
1937.5417	-0.04
1937.625	0.04
1937.7083	0.15
1937.7917	0.1
1937.875	0.1
1937.9583	-0.11
1938.0417	0.01
1938.125	-0.03
1938.2083	0.06
1938.2917	0.05
1938.375	-0.07
1938.4583	-0.16
1938.5417	-0.08
1938.625	-0.04
1938.7083	0.04
1938.7917	0.12
1938.875	0.02
1938.9583	-0.25
1939.0417	-0.12
1939.125	-0.11
1939.2083	-0.19
1939.2917	-0.11
1939.375	-0.06
1939.4583	-0.07
1939.5417	-0.05
1939.625	-0.04
1939.7083	0.01
1939.7917	-0.02
1939.875	0.06
1939.9583	0.41
1940.0417	-0.15
1940.125	0.06
1940.2083	0.12
1940.2917	0.17
1940.375	0.06
1940.4583	0.06
1940.5417	0.11
1940.625	0.02
1940.7083	0.13
1940.7917	0.08
1940.875	0.13
1940.9583	0.2
1941.0417	0.13
1941.125	0.23
1941.2083	0.06
1941.2917	0.11
1941.375	0.11
1941.4583	0.05
1941.5417	0.16
1941.625	0.15
1941.7083	0.03
1941.7917	0.25
1941.875	0.13
1941.9583	0.15
1942.0417	0.26
1942.125	0.05
1942.2083	0.13
1942.2917	0.15
1942.375	0.14
1942.4583	0.11
1942.5417	0.02
1942.625	-0.02
1942.7083	0
1942.7917	0.07
1942.875	0.13
1942.9583	0.12
1943.0417	0
1943.125	0.22
1943.2083	0.02
1943.2917	0.13
1943.375	0.1
1943.4583	0
1943.5417	0.14
1943.625	0.03
1943.7083	0.12
1943.7917	0.3
1943.875	0.26
1943.9583	0.29
1944.0417	0.41
1944.125	0.32
1944.2083	0.34
1944.2917	0.27
1944.375	0.26
1944.4583	0.23
1944.5417	0.23
1944.625	0.23
1944.7083	0.31
1944.7917	0.27
1944.875	0.12
1944.9583	0.05
1945.0417	0.14
1945.125	0.03
1945.2083	0.11
1945.2917	0.24
1945.375	0.1
1945.4583	0.02
1945.5417	0.07
1945.625	0.25
1945.7083	0.22
1945.7917	0.22
1945.875	0.11
1945.9583	-0.09
1946.0417	0.15
1946.125	0.06
1946.2083	0
1946.2917	0.11
1946.375	-0.03
1946.4583	-0.16
1946.5417	-0.09
1946.625	-0.08
1946.7083	-0.02
1946.7917	-0.05
1946.875	-0.02
1946.9583	-0.29
1947.0417	-0.12
1947.125	-0.07
1947.2083	0.05
1947.2917	0.04
1947.375	-0.06
1947.4583	0
1947.5417	-0.06
1947.625	-0.08
1947.7083	-0.14
1947.7917	0.06
1947.875	0
1947.9583	-0.18
1948.0417	0.05
1948.125	-0.13
1948.2083	-0.23
1948.2917	-0.09
1948.375	0.08
1948.4583	-0.05
1948.5417	-0.12
1948.625	-0.1
1948.7083	-0.1
1948.7917	-0.06
1948.875	-0.08
1948.9583	-0.23
1949.0417	0.09
1949.125	-0.16
1949.2083	-0.01
1949.2917	-0.07
1949.375	-0.08
1949.4583	-0.22
1949.5417	-0.13
1949.625	-0.08
1949.7083	-0.08
1949.7917	-0.03
1949.875	-0.08
1949.9583	-0.19
1950.0417	-0.3
1950.125	-0.26
1950.2083	-0.06
1950.2917	-0.21
1950.375	-0.12
1950.4583	-0.06
1950.5417	-0.08
1950.625	-0.17
1950.7083	-0.1
1950.7917	-0.19
1950.875	-0.35
1950.9583	-0.2
1951.0417	-0.35
1951.125	-0.43
1951.2083	-0.18
1951.2917	-0.1
1951.375	-0.02
1951.4583	-0.04
1951.5417	0
1951.625	0.05
1951.7083	0.08
1951.7917	0.06
1951.875	0
1951.9583	0.15
1952.0417	0.16
1952.125	0.13
1952.2083	-0.09
1952.2917	0.02
1952.375	-0.05
1952.4583	-0.04
1952.5417	0.05
1952.625	0.07
1952.7083	0.08
1952.7917	-0.03
1952.875	-0.16
1952.9583	-0.01
1953.0417	0.09
1953.125	0.16
1953.2083	0.11
1953.2917	0.2
1953.375	0.09
1953.4583	0.08
1953.5417	0.03
1953.625	0.08
1953.7083	0.06
1953.7917	0.05
1953.875	-0.05
1953.9583	0.04
1954.0417	-0.28
1954.125	-0.1
1954.2083	-0.12
1954.2917	-0.18
1954.375	-0.19
1954.4583	-0.15
1954.5417	-0.16
1954.625	-0.12
1954.7083	-0.07
1954.7917	-0.01
1954.875	0.08
1954.9583	-0.18
1955.0417	0.11
1955.125	-0.21
1955.2083	-0.36
1955.2917	-0.23
1955.375	-0.2
1955.4583	-0.07
1955.5417	-0.09
1955.625	0.04
1955.7083	-0.12
1955.7917	-0.05
1955.875	-0.28
1955.9583	-0.32
1956.0417	-0.16
1956.125	-0.25
1956.2083	-0.23
1956.2917	-0.26
1956.375	-0.28
1956.4583	-0.15
1956.5417	-0.12
1956.625	-0.25
1956.7083	-0.21
1956.7917	-0.24
1956.875	-0.17
1956.9583	-0.1
1957.0417	-0.14
1957.125	-0.05
1957.2083	-0.05
1957.2917	-0.03
1957.375	0.08
1957.4583	0.16
1957.5417	0.01
1957.625	0.14
1957.7083	0.06
1957.7917	0.01
1957.875	0.07
1957.9583	0.16
1958.0417	0.39
1958.125	0.24
1958.2083	0.1
1958.2917	0.01
1958.375	0.08
1958.4583	-0.05
1958.5417	0.06
1958.625	-0.06
1958.7083	-0.02
1958.7917	0.04
1958.875	0.03
1958.9583	0.01
1959.0417	0.06
1959.125	0.09
1959.2083	0.2
1959.2917	0.17
1959.375	0.06
1959.4583	0.02
1959.5417	0.06
1959.625	-0.01
1959.7083	-0.06
1959.7917	-0.09
1959.875	-0.09
1959.9583	-0.03
1960.0417	-0.01
1960.125	0.14
1960.2083	-0.36
1960.2917	-0.16
1960.375	-0.07
1960.4583	0.01
1960.5417	-0.02
1960.625	0
1960.7083	0.05
1960.7917	0.07
1960.875	-0.11
1960.9583	0.18
1961.0417	0.07
1961.125	0.18
1961.2083	0.09
1961.2917	0.15
1961.375	0.12
1961.4583	0.12
1961.5417	-0.03
1961.625	0.02
1961.7083	0.05
1961.7917	0
1961.875	0.03
1961.9583	-0.15
